datum,titel_kurz_d,p_svp,annahme
1980-11-30 00:00:00,Aufhebung des Kantonsanteils an den Stempelabgaben,1,1
1980-11-30 01:00:00,Abbau des Kantonsanteils an den Alkoholeinnahmen ,1,1
1980-11-30 02:00:00,Revision der Brotgetreideordnung,1,1
1981-04-05 03:00:00,Initiative «für eine neue Ausländerpolitik»,0,0
1981-06-14 04:00:00,Artikel zur Gleichstellung von Mann und Frau,1,1
1981-06-14 05:00:00,Konsumentenschutz-Artikel,1,1
1981-11-29 06:00:00,Weiterführung der Finanzordnung,1,1
1982-06-06 07:00:00,Revision des Strafgesetzes (Gewaltverbrechen),1,1
1982-06-06 08:00:00,Ausländergesetz,1,0
1982-11-28 09:00:00,Preisüberwachungs-Initiative,0,1
1982-11-28 10:00:00,Gegenentwurf zur Preisüberwachungs-Initiative,1,0
1983-02-27 11:00:00,Neuregelung der Treibstoffzölle,1,1
1983-02-27 12:00:00,Energieartikel,1,0
1983-12-04 13:00:00,Reform der Bürgerrechtsregelung in der Bundesverfassung,1,1
1983-12-04 14:00:00,Bundesbeschluss über die Erleichterung gewisser Einbürgerungen,1,0
1984-02-26 15:00:00,Einführung einer Schwerverkehrsabgabe,1,1
1984-02-26 16:00:00,Einführung der Autobahnvignette,1,1
1984-02-26 17:00:00,Zivildienst-Initiative,0,0
1984-05-20 18:00:00,Initiative «gegen den Missbrauch des Bankgeheimnisses und der Bankenmacht»,0,0
1984-05-20 19:00:00,Initiative «Gegen den Ausverkauf der Heimat»,0,0
1984-09-23 20:00:00,Initiative «für eine Zukunft ohne weitere Atomkraftwerke»,0,0
1984-09-23 21:00:00,Initiative «für eine umweltgerechte Energieversorgung»,0,0
1984-12-02 22:00:00,Initiative «für einen wirksamen Schutz der Mutterschaft»,0,0
1984-12-02 23:00:00,Radio- und Fernsehartikel,1,1
1984-12-02 00:00:00,Bundesbeschluss über die Entschädigung der Opfer von Gewaltverbrechen,1,1
1985-03-10 01:00:00,Aufhebung der Bundesbeiträge für den Primarschulunterricht,1,1
1985-03-10 02:00:00,Aufhebung der Beitragspflicht des Bundes im Gesundheitswesen,1,1
1985-03-10 03:00:00,Bundesbeschluss über die Ausbildungsbeiträge,1,0
1985-03-10 04:00:00,Ferien-Initiative,0,0
1985-06-09 05:00:00,Initiative «Recht auf Leben»,0,0
1985-06-09 06:00:00,Aufhebung des Kantonsanteils an den Stempelabgaben,1,1
1985-06-09 07:00:00,Neuverteilung der Erträge aus der Alkoholabgabe,1,1
1985-06-09 08:00:00,Aufhebung der Unterstützung für die Selbstversorgung mit Brotgetreide,0,1
